channel,treatment,coef,se,tstat,pval,N,r2
Analyst,DU_kw,.027198764216279,.0082660030615793,3.290437229898922,.0010338763957142,43721,.7931689166217936
Analyst,DU_llm,.0635530469524129,.0067481310019973,9.41787391703015,2.86687146537e-20,43721,.7935964954253656
Amihud,DU_kw,-.0060213273500703,.0081487816023207,-.7389236383946626,.46011993648909,43721,.1634431296476843
Amihud,DU_llm,-.0039869027270721,.0025164932662256,-1.584308919312912,.1134271567343485,43721,.1632991464104104
RetVol,DU_kw,-.0000504850321666,.0000902741739718,-.5592411422382064,.5761174481047631,43721,.4519338703139554
RetVol,DU_llm,-.0003054471353303,.0000704458949196,-4.335911065916719,.0000159249965559,43721,.4521397753506543
InstHold,DU_kw,-.2727487988381679,.0756982846158209,-3.603104089113844,.0003293053462238,43687,.9154044281928262
InstHold,DU_llm,-.0728093201663293,.0652379840331307,-1.116057175055464,.2646552103801449,43687,.9153354458715602
Turnover,DU_kw,.4606465589980561,.1772886759640163,2.598285290886554,.0095014248285142,43721,.5749409551093639
Turnover,DU_llm,-.5846445265170149,.1303870135139782,-4.483916846936125,8.14181917128e-06,43721,.5749705368104057
ForecastDisp,DU_kw,-.0064758435730121,.0015866079247437,-4.081565125207732,.0000483865696118,22685,.4895339250211825
ForecastDisp,DU_llm,.0009638411051275,.0017016658599803,.566410320495387,.5712449639786867,22685,.4890244196030297
FcstAcc,DU_kw,.1124853826062192,.0558717598420861,2.013277958742373,.0443556571663751,25076,.3281351961426778
FcstAcc,DU_llm,-.0121377921111529,.062029332722641,-.1956782634665123,.8449021533243882,25076,.3280022731466082
absDA,DU_kw,-.0008175898072747,.0006503144257596,-1.257222314143983,.2093028755394111,15834,.3424113085138686
absDA,DU_llm,-.0003698859989806,.0006991784379184,-.5290294707626106,.5970369006380074,15834,.3423301283263951
InvestIneff,DU_kw,-.0020058240376421,.0007623543988789,-2.631091314737367,.0086856573200908,33621,.2510044790675516
InvestIneff,DU_llm,.0003932151136123,.0007907147610637,.4972907209716584,.6191296106251892,33621,.2506775562719331
AuditFee,DU_kw,.0041821564538778,.0016211385817312,2.579764926334497,.0100229121290563,43418,.9004758028764928
AuditFee,DU_llm,.0070517922363246,.0017728442768141,3.977671546537107,.0000744085034346,43418,.9004991070540367
RetAutoCorr,DU_kw,-.0023316196750886,.0006444586664495,-3.617950687100127,.0003112055757633,43721,.3145489968319044
RetAutoCorr,DU_llm,-.0006388048776432,.0007366547924064,-.8671699203319403,.3860487530091075,43721,.3142173080001958
IdioVol,DU_kw,-.0000865658181627,.0000740030416624,-1.169760272254904,.2423652037742525,43721,.5929181786469289
IdioVol,DU_llm,-.0002661751083852,.0000494417105155,-5.383614474700546,9.02096681243e-08,43721,.5932638086033575
TurnoverVol,DU_kw,.519445329636839,.1421168399233169,3.655058259929789,.0002699625512203,43721,.5314958298781182
TurnoverVol,DU_llm,-.4707172203095556,.1171201200250488,-4.019097830576693,.0000626299536508,43721,.5313313785896587
InstStable,DU_kw,-.1999194677948265,.0329249345675759,-6.071977679545791,1.76823755097e-09,43687,.6374696712994739
InstStable,DU_llm,-.1222582005434875,.0301665652147158,-4.05277165873189,.0000543812106731,43687,.6369454437446607
RatingDisp,DU_kw,.0047874406150902,.0016162711912786,2.962028056258895,.0031286978269039,27059,.4134410404733301
RatingDisp,DU_llm,.0053184349011208,.0018187638660668,2.924203081196173,.0035315415339035,27059,.4134112460311008
ReportFreq,DU_kw,.01289587258044,.0074880697505101,1.722189163577371,.0853444692686117,28545,.6915915688989451
ReportFreq,DU_llm,.0280722537864412,.0067272408856871,4.172922341188617,.0000326872454702,28545,.6917317993222057
